"reporting_year","station_eu_code","date","PM2,5"
2020,"IT0945A",2020-06-16,7
2020,"IT0945A",2020-06-17,8
2020,"IT0945A",2020-06-18,8
2020,"IT0945A",2020-06-19,6
2020,"IT0945A",2020-06-20,6
2020,"IT0945A",2020-06-21,9
2020,"IT0945A",2020-06-22,9
2020,"IT0945A",2020-06-23,11
2020,"IT0945A",2020-06-24,12
2020,"IT0945A",2020-06-25,12
2020,"IT0945A",2020-06-26,11
2020,"IT0945A",2020-06-27,11
2020,"IT0945A",2020-06-28,12
2020,"IT0945A",2020-06-29,12
2020,"IT0945A",2020-06-30,9
2020,"IT0950A",2020-01-01,50
2020,"IT0950A",2020-01-02,35
2020,"IT0950A",2020-01-03,34
2020,"IT0950A",2020-01-04,31
2020,"IT0950A",2020-01-05,15
2020,"IT0950A",2020-01-06,15
2020,"IT0950A",2020-01-07,34
2020,"IT0950A",2020-01-08,22
2020,"IT0950A",2020-01-09,36
2020,"IT0950A",2020-01-10,41
2020,"IT0950A",2020-01-11,29
2020,"IT0950A",2020-01-12,24
2020,"IT0950A",2020-01-13,31
2020,"IT0950A",2020-01-14,52
2020,"IT0950A",2020-01-15,47
2020,"IT0950A",2020-01-16,36
2020,"IT0950A",2020-01-17,38
2020,"IT0950A",2020-01-18,25
2020,"IT0950A",2020-01-19,8
2020,"IT0950A",2020-01-20,6
2020,"IT0950A",2020-01-21,23
2020,"IT0950A",2020-01-22,32
2020,"IT0950A",2020-01-23,40
2020,"IT0950A",2020-01-24,45
2020,"IT0950A",2020-01-25,32
2020,"IT0950A",2020-01-26,23
2020,"IT0950A",2020-01-27,28
2020,"IT0950A",2020-01-28,8
2020,"IT0950A",2020-01-29,10
2020,"IT0950A",2020-01-30,23
2020,"IT0950A",2020-01-31,24
2020,"IT0950A",2020-02-01,14
2020,"IT0950A",2020-02-02,8
2020,"IT0950A",2020-02-03,13
2020,"IT0950A",2020-02-04,13
2020,"IT0950A",2020-02-05,4
2020,"IT0950A",2020-02-06,9
2020,"IT0950A",2020-02-07,20
2020,"IT0950A",2020-02-08,26
2020,"IT0950A",2020-02-09,34
2020,"IT0950A",2020-02-10,8
2020,"IT0950A",2020-02-11,8
2020,"IT0950A",2020-02-12,16
2020,"IT0950A",2020-02-13,12
2020,"IT0950A",2020-02-14,9
2020,"IT0950A",2020-02-15,15
2020,"IT0950A",2020-02-16,20
2020,"IT0950A",2020-02-17,14
2020,"IT0950A",2020-02-18,14
2020,"IT0950A",2020-02-19,18
2020,"IT0950A",2020-02-20,15
2020,"IT0950A",2020-02-21,22
2020,"IT0950A",2020-02-22,25
2020,"IT0950A",2020-02-23,16
2020,"IT0950A",2020-02-24,19
2020,"IT0950A",2020-02-25,16
2020,"IT0950A",2020-02-26,7
2020,"IT0950A",2020-02-27,6
2020,"IT0950A",2020-02-28,7
2020,"IT0950A",2020-02-29,11
2020,"IT0950A",2020-03-01,7
2020,"IT0950A",2020-03-02,5
2020,"IT0950A",2020-03-04,10
2020,"IT0950A",2020-03-05,8
2020,"IT0950A",2020-03-06,6
2020,"IT0950A",2020-03-07,8
2020,"IT0950A",2020-03-08,9
2020,"IT0950A",2020-03-09,11
2020,"IT0950A",2020-03-10,10
2020,"IT0950A",2020-03-11,13
2020,"IT0950A",2020-03-12,27
2020,"IT0950A",2020-03-13,19
2020,"IT0950A",2020-03-14,14
2020,"IT0950A",2020-03-15,6
2020,"IT0950A",2020-03-16,11
2020,"IT0950A",2020-03-17,20
2020,"IT0950A",2020-03-18,14
2020,"IT0950A",2020-03-19,14
2020,"IT0950A",2020-03-20,21
2020,"IT0950A",2020-03-21,21
2020,"IT0950A",2020-03-22,14
2020,"IT0950A",2020-03-23,8
2020,"IT0950A",2020-03-24,9
2020,"IT0950A",2020-03-25,8
2020,"IT0950A",2020-03-26,5
2020,"IT0950A",2020-03-27,9
2020,"IT0950A",2020-03-28,34
2020,"IT0950A",2020-03-29,22
2020,"IT0950A",2020-03-30,13
2020,"IT0950A",2020-03-31,6
2020,"IT0950A",2020-04-01,8
2020,"IT0950A",2020-04-02,12
2020,"IT0950A",2020-04-03,13
2020,"IT0950A",2020-04-04,12
2020,"IT0950A",2020-04-05,12
2020,"IT0950A",2020-04-06,17
2020,"IT0950A",2020-04-07,16
2020,"IT0950A",2020-04-08,14
2020,"IT0950A",2020-04-09,13
2020,"IT0950A",2020-04-10,14
2020,"IT0950A",2020-04-11,15
2020,"IT0950A",2020-04-12,14
2020,"IT0950A",2020-04-13,13
2020,"IT0950A",2020-04-14,9
2020,"IT0950A",2020-04-15,6
2020,"IT0950A",2020-04-16,7
2020,"IT0950A",2020-04-17,7
2020,"IT0950A",2020-04-18,11
2020,"IT0950A",2020-04-19,12
2020,"IT0950A",2020-04-20,6
2020,"IT0950A",2020-04-21,5
2020,"IT0950A",2020-04-22,9
2020,"IT0950A",2020-04-23,13
2020,"IT0950A",2020-04-24,13
2020,"IT0950A",2020-04-25,11
2020,"IT0950A",2020-04-26,6
2020,"IT0950A",2020-04-27,7
2020,"IT0950A",2020-04-28,6
2020,"IT0950A",2020-04-29,4
2020,"IT0950A",2020-04-30,4
2020,"IT0950A",2020-05-01,5
2020,"IT0950A",2020-05-02,4
2020,"IT0950A",2020-05-03,5
2020,"IT0950A",2020-05-04,5
2020,"IT0950A",2020-05-05,5
2020,"IT0950A",2020-05-06,5
2020,"IT0950A",2020-05-07,5
2020,"IT0950A",2020-05-08,6
2020,"IT0950A",2020-05-09,6
2020,"IT0950A",2020-05-10,7
2020,"IT0950A",2020-05-11,6
2020,"IT0950A",2020-05-12,4
2020,"IT0950A",2020-05-13,7
2020,"IT0950A",2020-05-14,11
2020,"IT0950A",2020-05-15,6
2020,"IT0950A",2020-05-16,6
2020,"IT0950A",2020-05-17,10
2020,"IT0950A",2020-05-18,10
2020,"IT0950A",2020-05-19,11
2020,"IT0950A",2020-05-20,6
2020,"IT0950A",2020-05-21,6
2020,"IT0950A",2020-05-22,8
2020,"IT0950A",2020-05-23,9
2020,"IT0950A",2020-05-24,6
2020,"IT0950A",2020-05-25,4
2020,"IT0950A",2020-05-26,4
2020,"IT0950A",2020-05-27,4
2020,"IT0950A",2020-05-28,5
2020,"IT0950A",2020-05-29,3
2020,"IT0950A",2020-05-30,6
2020,"IT0950A",2020-05-31,6
2020,"IT0950A",2020-06-01,5
2020,"IT0950A",2020-06-02,6
2020,"IT0950A",2020-06-03,7
2020,"IT0950A",2020-06-04,5
2020,"IT0950A",2020-06-05,4
2020,"IT0950A",2020-06-06,5
2020,"IT0950A",2020-06-07,5
2020,"IT0950A",2020-06-08,4
2020,"IT0950A",2020-06-09,5
2020,"IT0950A",2020-06-10,4
2020,"IT0950A",2020-06-11,3
2020,"IT0950A",2020-06-12,5
2020,"IT0950A",2020-06-13,5
2020,"IT0950A",2020-06-14,3
2020,"IT0950A",2020-06-15,5
2020,"IT0950A",2020-06-16,4
2020,"IT0950A",2020-06-17,6
2020,"IT0950A",2020-06-18,5
2020,"IT0950A",2020-06-19,5
2020,"IT0950A",2020-06-20,5
2020,"IT0950A",2020-06-21,6
2020,"IT0950A",2020-06-22,6
2020,"IT0950A",2020-06-27,9
2020,"IT0950A",2020-06-28,10
2020,"IT0950A",2020-06-29,9
2020,"IT0950A",2020-06-30,8
2020,"IT1110A",2020-01-01,73
2020,"IT1110A",2020-01-02,54
2020,"IT1110A",2020-01-03,63
2020,"IT1110A",2020-01-04,42
2020,"IT1110A",2020-01-05,38
2020,"IT1110A",2020-01-06,25
2020,"IT1110A",2020-01-07,45
2020,"IT1110A",2020-01-08,44
2020,"IT1110A",2020-01-09,43
2020,"IT1110A",2020-01-10,39
2020,"IT1110A",2020-01-11,25
2020,"IT1110A",2020-01-12,20
2020,"IT1110A",2020-01-13,33
2020,"IT1110A",2020-01-14,34
2020,"IT1110A",2020-01-15,33
2020,"IT1110A",2020-01-16,33
2020,"IT1110A",2020-01-17,40
